1 AVE,L,1143954
103 ST,1,453908
103 ST,6,732058
103 ST,BC,209482
103 ST-CORONA,7,855120
104 ST,JZ,87102
110 ST,6,505506
110 ST-CATHEDRL,1,476543
110 ST-CPN,23,449388
111 ST,7,467396
111 ST,J,101460
116 ST,23,438442
116 ST,6,597157
116 ST,BC,314770
116 ST-COLUMBIA,1,587663
121 ST,JZ,93793
125 ST,1,374766
125 ST,23,481531
125 ST,456,1240713
125 ST,ACBD,1361525
135 ST,23,506030
135 ST,BC,231278
137 ST-CITY COL,1,529966
138 ST-3 AVE,6,333983
138 ST-GR CONC,45,154453
14 ST,123FLM,879905
14 ST,ACEL,968458
14 ST-6 AVE,FLM123,1001766
14 ST-UNION SQ,456LNQR,1728591
14 ST-UNION SQ,LNQR456,3407672
145 ST,1,422889
145 ST,3,94178
145 ST,ABCD,1201991
148 ST-LENOX,3,185682
149 ST-3 AVE,25,857306
149 ST-GR CONC,245,535493
14TH STREET,1,419084
15 ST-PROSPECT,FG,221636
155 ST,BD,151407
155 ST,C,124955
157 ST,1,440063
161 ST-YANKEE,4BD,425327
161 ST-YANKEE,BD4,644482
163 ST-AMSTERDM,C,149619
167 ST,4,479352
167 ST,BD,361173
168 ST-BROADWAY,1AC,574745
168 ST-BROADWAY,AC1,492390
169 ST,F,405817
170 ST,4,396387
170 ST,BD,279586
174 ST,25,289429
174-175 ST,BD,176434
175 ST,A,494925
176 ST,4,229467
18 AVE,D,185575
18 AVE,F,176722
18 AVE,N,282296
18 ST,1,332293
181 ST,1,558062
181 ST,A,515132
182-183 ST,BD,171666
183 ST,4,239908
190 ST,A,174440
191 ST,1,406830
2 AVE,F,896471
20 AVE,D,165225
20 AVE,N,165139
207 ST,1,219484
21 ST,F,434746
215 ST,1,70477
219 ST,25,125206
22 AVE-BAY PKY,F,50850
225 ST,25,160002
23 ST,1,710044
23 ST,6,1116707
23 ST,CE,990144
23 ST-5 AVE,NR,952323
23 ST-6 AVE,FM,1229443
231 ST,1,240610
233 ST,25,184633
238 ST,1,85589
242 ST,1,253799
25 AVE,D,142765
25 ST,R,179210
28 ST,1,617164
28 ST,6,1102119
28 ST-BROADWAY,NR,671492
3 AVE,L,350108
33 ST,6,1325683
33 ST/RAWSON ST,7,501146
34 ST-HERALD SQ,BDFMNQR,5628530
34 ST-PENN STA,123,1690853
34 ST-PENN STA,123ACE,2297848
34 ST-PENN STA,ACE,3956090
36 ST,DNR,529232
36 ST,MR,185745
4 AVE,DFGMNR,322019
40 ST-LOWERY ST,7,490316
42 ST-BRYANT PK,BDFM7,1782040
42 ST-GRD CNTRL,4567S,6912027
42 ST-PA BUS TE,ACENGRS1237,694414
