34 ST-PENN STA,4304645
42 ST-GRD CNTRL,3646281
34 ST-HERALD SQ,2957600
86 ST,2804673
14 ST-UNION SQ,2725313
42 ST-TIMES SQ,2472280
42 ST-PA BUS TE,2344760
125 ST,1914231
96 ST,1891121
59 ST-COLUMBUS,1842854
FULTON ST,1810265
CANAL ST,1807942
CHAMBERS ST,1683994
23 ST,1615713
PATH WTC,1607782
59 ST,1577508
MAIN ST,1481386
47-50 ST-ROCK,1420064
ROOSEVELT AVE,1261474
72 ST,1259038
50 ST,1231531
WALL ST,1140204
W 4 ST-WASH SQ,1129148
14 ST,1059822
BARCLAYS CENTER,1058448
JAY ST-METROTEC,1042139
JAMAICA CENTER,1009863
LEXINGTON-53 ST,993620
CHURCH AVE,948279
145 ST,946368
77 ST,942476
8 AVE,930296
BOROUGH HALL/CT,928027
28 ST,926492
42 ST-BRYANT PK,893158
116 ST,883284
103 ST,818808
GRAND ST,788881
MYRTLE AVE,777926
68ST-HUNTER COL,769826
BOWLING GREEN,750105
33 ST,741925
DEKALB AVE,735587
LEXINGTON AVE,712498
SUTPHIN BLVD,712268
CROWN HTS-UTICA,705246
FOREST HILLS-71,689687
KINGS HIGHWAY,681786
161 ST-YANKEE,677748
WOODHAVEN BLVD,662801
UNION TPK-KEW G,662350
23 ST-6 AVE,650345
BEDFORD AVE,642329
168 ST-BROADWAY,624589
23 ST-5 AVE,614769
BROADWAY/LAFAY,611011
FORDHAM ROAD,601806
66 ST-LINCOLN,597473
149 ST-3 AVE,596343
5 AVE-53 ST,592572
SPRING ST,585758
79 ST,579693
49 ST-7 AVE,577003
181 ST,567907
THIRTY THIRD ST,565750
NOSTRAND AVE,556963
1 AVE,556799
57 ST-7 AVE,553405
JUNCTION BLVD,544295
ASTOR PLACE,544055
JAMAICA-179 ST,537746
BROOKLYN BRIDGE,524869
135 ST,518861
103 ST-CORONA,504162
JOURNAL SQUARE,500629
167 ST,492869
8 ST-B'WAY NYU,467822
14 ST-6 AVE,467692
5 AVE-59 ST,457908
2 AVE,456909
PAVONIA/NEWPORT,448058
KINGSBRIDGE RD,445959
51 ST,437835
FLATBUSH AVE,437038
36 ST,431626
FRANKLIN AVE,426671
DITMARS BL-31 S,424893
90 ST-ELMHURST,419594
61 ST/WOODSIDE,415933
GROVE STREET,415919
FT HAMILTON PKY,414498
RECTOR ST,414397
PRINCE ST-B'WAY,410884
GRAND AV-NEWTON,409434
7 AVE-53 ST,409266
DELANCEY ST,408130
E 177 ST-PARKCH,407455
